F_ID,F_Value,F_Category,F_Status,F_Count,F_Optional,F_Text,Target
1,45.839617,A,True,35,11.39708,text_0,1
2,,B,False,24,9.259972,text_1,0
3,72.11586,C,True,48,15.65451,text_2,1
4,10.592534,D,False,42,,text_3,1
5,88.471676,B,True,15,10.021571,text_4,0
6,,A,False,39,13.254146,text_0,1
7,33.003977,C,True,12,7.247514,text_1,0
8,64.212002,D,False,46,6.340917,text_2,1
9,25.986847,A,True,20,13.45423,text_3,0
10,91.733719,B,False,27,,text_4,1
11,6.587847,C,True,,6.236964,text_0,0
12,50.413233,D,False,30,12.793739,text_1,1
13,12.396556,A,True,18,10.569472,text_2,0
14,79.055813,B,False,40,9.980644,text_3,1
15,38.169123,C,True,22,6.56708,text_4,0
16,5.293699,D,False,,14.509893,text_0,1
17,60.842797,A,True,10,12.012502,text_1,1
18,94.97541,B,False,32,,text_2,0
19,16.71353,Unknown,True,44,11.023249,text_3,1
20,29.358212,A,False,16,13.04561,text_4,0
21,57.190623,B,True,33,10.012053,text_0,1
22,81.42436,C,False,21,11.459349,text_1,0
23,19.645001,D,True,38,,text_2,1
24,70.528409,Unknown,False,11,9.023455,text_3,0
25,48.29135,A,True,28,15.54019,text_4,1